2003T1;2328.5
2003T2;2216.0
2003T3;2247.5
2003T4;2276.7
2004T1;2309.8
2004T2;2247.6
2004T3;2199.8
2004T4;2176.9
2005T1;2121.3
2005T2;1969.1
2005T3;1783.5
2005T4;1860.3
2006T1;1942.8
2006T2;1834.4
2006T3;1766.9
2006T4;1819.4
2007T1;1863.2
2007T2;1773.2
2007T3;1806.2
2007T4;1942.0
2008T1;2190.5
2008T2;2385.7
2008T3;2600.7
2008T4;3206.8
2009T1;4018.2
2009T2;4139.6
2009T3;4121.4
2009T4;4335.0
2010T1;4617.7
2010T2;4655.3
2010T3;4585.4
2010T4;4702.2
2011T1;4921.2
2011T2;4844.2
2011T3;4998.0
2011T4;5287.3
2012T1;5667.9
2012T2;5731.0
2012T3;5824.2
2012T4;6021.0
